    T/O      Fuel     Fuel     Payld    Block    Block    Block    Block    Block    Block    Climb    Climb    Climb    Climb    Climb    Climb    ICA      Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Descent  Descent  Descent  Descent  Descent  Descent  Reserve  TOFL     
    Mass     Load     Vol.     Mass     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Alt.     Mach     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Fuel     Dist.    
    kg.      kg.      %Cap.    kg.      nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      ft.         nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      kg.      ft.      s                                       
  469151.  155151.     63.2   15000.    6000.     769.  144712.   2488.1     0.37    228.6     150.      22.    9383.    314.1     0.00      4.2   36000.    0.845    5724.     709.  130849.   2111.3     0.00    194.0     126.      21.     953.      3.6     0.26     19.2   12941.    6228.         
  498086.  184086.     75.0   15000.    7000.     893.  172790.   3004.4     0.37    261.7     172.      25.   10572.    353.1     0.00      4.7   36000.    0.845    6701.     830.  157729.   2588.5     0.00    226.4     127.      21.     961.      3.7     0.26     19.3   13799.    7052.         
  528943.  214943.     87.5   15000.    8000.    1017.  202732.   3576.5     0.37    292.7     168.      25.   10883.    369.4     0.00      4.9   34000.    0.845    7711.     954.  187363.   3144.3     0.00    257.7     122.      20.     958.      3.7     0.25     18.9   14714.    8008.                                                                                               
  352202.   33202.     13.5   20000.    1000.     151.   26302.    495.4     0.41     63.2     112.      17.    6661.    209.4     0.00      2.8   40000.    0.845     747.      92.   15091.    223.0     0.00     26.7     142.      24.    1022.      3.8     0.30     22.4    9402.    4304.         
  374288.   55288.     22.5   20000.    2000.     275.   47734.    831.8     0.41     98.2     125.      18.    7338.    230.2     0.00      3.1   40000.    0.845    1733.     214.   35841.    538.7     0.00     61.4     143.      24.    1027.      3.8     0.30     22.5   10056.    4538.         
  397621.   78621.     32.0   20000.    3000.     397.   70372.   1207.2     0.40    131.0     144.      20.    8195.    261.9     0.00      3.6   40000.    0.845    2719.     337.   57650.    882.4     0.00     95.0     138.      22.     999.      3.8     0.28     21.1   10751.    4800.         
  422199.  103199.     42.0   20000.    4000.     521.   94222.   1612.1     0.40    163.5     164.      23.    9178.    291.7     0.00      4.0   40000.    0.845    3697.     458.   80510.   1257.5     0.00    127.0     139.      23.    1006.      3.8     0.28     21.1   11480.    5078.         
  448356.  129356.     52.7   20000.    5000.     645.  119603.   2052.2     0.38    195.9     154.      22.    9202.    301.8     0.00      4.0   38000.    0.845    4716.     584.  105898.   1687.6     0.00    160.7     131.      21.     975.      3.7     0.27     20.0   12256.    5677.         
  476132.  157132.     64.0   20000.    6000.     769.  146555.   2538.6     0.37    228.0     155.      22.    9638.    322.3     0.00      4.3   36000.    0.845    5719.     708.  132430.   2153.5     0.00    193.2     127.      21.     960.      3.7     0.26     19.3   13079.    6420.         
  505438.  186438.     75.9   20000.    7000.     893.  174992.   3064.6     0.37    260.5     170.      24.   10575.    354.9     0.00      4.7   36000.    0.845    6705.     830.  159936.   2646.9     0.00    225.5     125.      20.     953.      3.6     0.25     19.0   13948.    7272.         
